x
350,SSH2
351,LAMTOR5
352,PDCL
353,WWTR1
354,HPF1
355,PLEKHM3
356,CEP19
357,PPIA
358,MPHOSPH8
359,NUP42
360,CRYGB
361,RNGTT
362,UBXN2B
363,SLC16A5
364,FBN1
365,GTPBP2
366,RNPS1
367,PXDC1
368,UPP2
369,DNAJC16
370,RELL1
371,RNF126
372,FARP2
373,PLXNB2
374,GABBR2
375,ADAM22
376,TCTE1
377,SLC45A1
378,CAMKV
379,VPS29
380,KDM4C
381,CLASP2
382,RNASE4
383,PACSIN1
384,LDB2
385,ZNF341
386,GABRA2
387,NORAD
388,ATP2B2
389,APOL4
390,RHBDD2
391,COX7C
392,IPCEF1
393,TYK2
394,LPAR5
395,ZNF365
396,MAP9
397,RNF187
398,CCDC181
399,SERAC1
400,AGPAT5
401,SOCS3
402,PCP4L1
403,ARPC5L
404,MAP3K21
405,UCHL3
406,ME2
407,RASGRF2
408,SLC11A1
409,PARD3B
410,TRIM37
411,ZRANB3
412,SCN4B
413,PRSS50
414,CBR4
415,HIVEP1
416,DCN
417,ADD2
418,ANKRD46
419,TMEM158
420,GTF2IRD1
421,CTNNA1
422,UBE2H
423,AGPAT3
424,MKRN1
425,IPO7
426,NLK
427,YIPF4
428,GALR3
429,SAMD12
430,CNOT9
431,STXBP5
432,MIR23AHG
433,ANKRD42-DT
434,THBS3
435,SVEP1
436,AMPH
437,WASF1
438,MED13L
439,C14orf93
440,CDKN2A
441,SLC41A3
442,BEND6
443,SCRT1
444,PPIA
445,TRIM36
446,MACROH2A2
447,ST3GAL4
448,LRRC27
449,PRH1
450,MED7
451,TYMS
452,ROBO2
453,FSD1L
454,ZNF385D
455,ABR
456,CACNA2D1
457,TSC22D3
458,LRAT
459,EPS15
460,VTA1
461,EPHA5
462,CALN1
463,PRINS
464,STRBP
465,MCM9
466,GPBP1L1
467,DIRAS2
468,NME7
469,SESN3
470,ZNF280B
471,TGFBR3
472,SLC45A3
473,LMBR1
474,CHD6
475,DGCR8
476,OSBPL10
477,CELF5
478,MOB3B
479,EMC4
480,FBXW7
481,FAM205BP
482,POLR3H
483,ZBTB18
484,MTOR
485,HS6ST2
486,UBR4
487,ZNF518A
488,DCLK1
489,SDCCAG8
490,RSU1
491,ATCAY
492,INPP5F
493,PSLNR
494,PCGF3
495,HLA-G
496,CTNNA2
497,TUBG2
498,CASP2
499,NIPSNAP3B
500,TMCC3
501,RPL11
502,ANXA6
503,ARHGAP44
504,KCNQ3
505,GCDH
506,GABRR2
507,KLF12
508,AFF4
509,HOPX
510,FAM234B
511,SPTLC2
512,B3GALNT2
513,FAM102A
514,ZNF35
515,NKAPD1
516,BEX4
517,PGPEP1
518,FBXL2
519,ZNF44
520,FKBP1A
521,MRPL21
522,R3HDM1
523,CYCS
524,MOAP1
525,SRCIN1
526,ACTL7A
527,CYP7A1
528,GFAP
529,ETV6
530,FNBP4
531,HINT1
532,CFAP70
533,FGF13
534,DNAJC10
535,CRH
536,NTRK2
537,CUL7
538,PTPN13
